Singer,FM,Title,Lyrics,AppleMusicYear,SongReleaseYear,DebutYear,Active,Subject,Persona,imageURL,id
오렌지 캬라멜,여성,립스틱 (LIPSTICK),"립스틱 스틱 세우고
립스틱 스틱 세우고
어찌나 눈이 높던지
애인이 있는 건지
살짝 시크해보여
하나도 관심 없는 척
속이는 거 다 알아
흘리고 다니잖아
오똑한 콧날에 베일 것 같아
짜릿 짜릿 네 눈빛에 녹을 것 같아
구릿빛 피부가 달콤해 보여
아슬아슬 다가가서 훔치고 싶어
립스틱 스틱 세우고
내 입술에 바르고
잘 다려진 하얀 셔츠 위에
살짝 묻히고
립스틱 스틱 세우고
네 입술에 맞추고
아찔아찔 솟은 쇄골 위에
몰래 묻히고 어머어머
어어어어 어머어머
몰래 묻히고 어머어머
어어어어 어머어머
어쩌다 그리 된 건지
사연이 있는 건지
살짝 화가나 보여
사실 좀 미안하지만
즐기는 거 다 알아
몰래 웃고 있잖아
촉촉한 눈빛에 빠질 것 같아
찌릿 찌릿 네 향기에 취할 것 같아
우윳빛 피부가 눈부셔 보여
아슬아슬 다가가서 훔치고 싶어
립스틱 스틱 세우고
내 입술에 바르고
잘 다려진 하얀 셔츠 위에
살짝 묻히고
립스틱 스틱 세우고
네 입술에 맞추고
아찔아찔 솟은 쇄골 위에
몰래 묻히고 어머어머
어어어어 어머어머
몰래 묻히고 어머어머
어어어어 어머어머
좀 빼지마 가만히 둘 순 없어
널 널 널
이러지마 오늘 처음 봤잖아
립스틱 스틱 세우고
내 입술에 바르고
잘 다려진 하얀 셔츠 위에
살짝 묻히고
립스틱 스틱 세우고
네 입술에 맞추고
아찔아찔 솟은 쇄골 위에
몰래 묻히고 어머어머
어어어어 어머어머
몰래 묻히고 어머어머
어어어어 어머어머",2012,2012,2010,1,0.08333333333,유혹자,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/7e/01/f4/7e01f4ff-b4e7-fa7e-33f1-b3369ec3bb0b/KM0001745-_1_-0912.jpg/592x592bb.webp,1
레드벨벳,여성,Feel My Rhythm,"Red Velvet

무도회를 뒤집어
작은 소란을 또 일으켜
This is gonna be a crazy night
(To-na-na-na-na-na-night)

등장부터 인사까지 파격적이게
우리 살짝 놀아볼까
솔직하게 Bae bae
지금부터 시작해 볼게
(Feel my vibe and sway)

꽃가루를 날려
폭죽을 더 크게 터트려
우릴 오만과 편견에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

차는 Old and Classic
(Just ride)
이제 조금 낯선 다른 차원까지
(Get loud)
상상할 수 없던 곳 시간 속
예고 없이 등장해
이 밤은 멋지고 우린
Fun and wild and brave

시선을 끄는 네 Motion
G-give me a new direction
끝없는 Black hole처럼
빠져드는 Sweet emotion
너를 태운 채 (Sway)
어디로든 떠날래 (Way)
온 세상 모든 경계를
다 휘저을래 (Oh yeah)

꽃가루를 날려
(흩날려)
Champagne을 더 크게 터트려
(마음껏)
더는 어제와 내일에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

온 세상이 멈추는 순간
What a what a feeling
어서 내 손을 잡아
(All right)
본 적 없던 Film
빠져드는 You and I
Next time 시계를 돌려
어디로 가볼까
Come on 또다시 시작해
You and I

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 끝나지 않는 꿈
이 순간을 놓지 마 Baby",2022,,,0.9428571429,0.4117647059,순수파,https://is2-ssl.mzstatic.com/image/thumb/Video116/v4/52/69/ef/5269ef49-03c6-11f8-0387-853201745eb6/Job84311a79-226d-4855-9e82-c8d6769a2600-129778461-PreviewImage_preview_image_nonvideo_sdr-Time1647364761699.png/592x592bb.webp,2
BLACKPINK,여성,Forever Young,"떠나지 마 just stay
지금 이 시간을 멈춘 채
너와 함께라면 난
I could die in this moment
Forever young
Forever young
Forever young
Forever young
너의 눈에 비친 나의 모습이
늘 처음 만난 그 날만 같길
소리 없이 타오르는 불꽃같이
마지막처럼 내 입 맞추길
달빛 아래 내 마음은 설레
은하수로 춤추러 갈래
let’s go
지금 let go
오늘이 가도 후회 없게
시간이 우리 둘을 떼어 놓을 수 없게
순간이 영원할 수 있게
넌 내 마음에 불을 질러줘
후회 없는 젊음이 타오르게
지금처럼 너와 함께라면
tonight
I could die in this moment
Forever young
Forever young
Forever young
Forever young
매일매일 밤 밤
이 노래를 불러 불러
Know we got that bomb bomb
Come again come again
Forever young boy
so we ride or die
끝이 없을 것처럼 달려 너와 나
붉은 sunset 아래
너는 지금 내 옆에
Pinked out or murdered out
like it ain’t no thing
다 필요 없어 주인공은 우리
Say life’s a bish
But mine’s a movie
내 Diamond처럼
we’ll shine together
Whenever wherever
forever ever ever
짜릿하게 더 위험하게
세상 저 끝까지 가볼래
let’s go
지금 let go
오늘이 가도 후회 없게
시간이 우리 둘을 떼어 놓을 수 없게
순간이 영원할 수 있게
넌 내 마음에 불을 질러줘
후회 없는 젊음이 타오르게
세상 무엇도 두렵지 않아
tonight
I could die in this moment
Forever young
달이 뜨고 별이 뜨면
춤추는 body
끝이 없이 달려보자
we like to party
달이 뜨고 별이 뜨면
춤추는 body
끝이 없이 달려보자
we like to party
Girls wanna have some fun
We go dumb dumb dumb
Girls wanna have some fun
What you want want want
Girls wanna have some fun
We go dumb dumb dumb
Girls wanna have some fun
We ain’t done done done
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum",2018,,,0.9277108434,0.4444444444,순정파,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/5e/5d/c3/5e5dc3a6-797b-dee5-9f51-2dcbf447c48e/19UMGIM05046.rgb.jpg/592x592bb.webp,3
소녀시대 (GIRLS' GENERATION),여성,Mr.Mr.,"Let's go 뭘 걱정하는데 넌 됐고
뭐가 또 두려운데
재고 또 재다 늦어버려 Uh Uh
매일 하루가 다르게 불안해져 가
앞서 가 주길 바래 그 누군가가
넌 모른 척 눈을 감는 You Bad Bad
Bad boy You so bad
더 당당하게 넌 Mr. Mr. 날 봐
Mr. Mr. 그래 바로 너 너 너
날 가슴 뛰게 한 Mr. Mr.
최고의 남자 Mr. Mr. 그게 바로 너
상처로 깨진 유리조각도 별이 되는
너 Mr. Mr. Mr. Mr.
나를 빛내줄 선택 받은 자
그게 바로 너 Mr. Mr.
왜 넌 아직도 믿지 못해 진짜
비밀을 알려줄게
넌 왜 특별한 Mr.인지 Uh Uh
미랠 여는 열쇠 바로 니가 가진 걸
소년보다 더 큰 꿈을 끌어안아
빛난 눈 속 날 담고서 My Mi Mi
Mister Rock this world
더 당당하게 넌 Mr. Mr. 날 봐
Mr. Mr. 그래 바로 너 너 너
날 가슴 뛰게 한 Mr. Mr.
최고의 남자 Mr. Mr. 그게 바로 너
상처로 깨진 유리조각도 별이 되는
너 Mr. Mr. Mr. Mr.
나를 빛내줄 선택 받은 자
그게 바로 너 Mr. Mr. Mr. Mr.
1 2 3 4 Mr. Mr. Mr. Mr.
지금 세상 안에
Oh 네 앞에
누구보다 먼저 널 던져
더 치열하게 더 치열하게
Mr. Mr. Mister
오직 그대만이 이뤄낼
단 하나 내일 앞의 너
그 안에 살아 갈 너와 나
Mister Oh
더 당당하게 넌 Mr. Mr. 날 봐
Mr. Mr. 그래 바로 너 너 너
날 가슴 뛰게 한 Mr. Mr.
최고의 남자 Mr. Mr.
그게 바로 너
상처로 깨진 유리조각도
별이 되는 너 Mr. Mr. Mr. Mr.
나를 빛내줄 최고의 남자
그게 바로 너 Mr. Mr. Mr. Mr.",2014,2014,2007,0.9183673469,0.09756097561,숭배자,https://is3-ssl.mzstatic.com/image/thumb/Features6/v4/d7/cb/c3/d7cbc3d5-7005-b8a8-ebef-65cfec0337cd/dj.uojgpvio.jpg/592x592bb.webp,4
NCT DREAM,남성,맛,"Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish
넌 뭐가 궁금해
나는 너만의 chef
이건 너를 위한 plate
yeah 내가 맛 보여 줄게
시간은 충분해 지금 우리
눈치도 보지 마 그저 taste it
내 비법은 색다른 spicy
살짝만 스쳐도 정신없지
설탕이 발린 맛엔
이내 질리기 쉬워
뜨거운 나의 feelin’
지금 느꼈지 넌
너와 내 사이 선명히 보인
커져만 가는 열기
난 오감을 깨워 네 맘을 깨워
터질 것만 같은 ma skill
골라 ma dish
골라 ma dish
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish
아예 방심 하지마
Uh 빈틈이 없을 테니까
Yeah 넌 자극적인 내 감각
ooh 가능하겠니 감당 nope
Yeah yeah 버틸 턱이 없잖아 nah
긴장을 더 풀고서 넌
bon appetit now that’s right
주체 못 해 자꾸 빠져드는 맛
cuz you can’t stop
난 끝까지 get ya
찾게 될 걸 every day
and every night
중독돼 이미 넌
네 맘을 더 섞어놔
이젠 남김없이
계속 원하게 돼
어지런 머리 네 두 손발이
이끌려 내게 이미
좀 더 자극적일 매 순간들이
강렬해 what we gon’ eat
골라 ma dish
I’m the one
what you want
what you want
what you want ah ya
골라 ma dish
I’m the one
what you want
what you want
what you want ah ya
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish
너를 삼켜버린 feelin’
사로잡은 이런 끌림
뗄 수가 없잖아
좀 더 깊이 빠져들 때
원해 원해 원해봐 더 babe
얼마든지 더 바래 바래 babe
너의 혀끝 위로 아른거릴
완벽해진 맛을 즐겨
You want it babe
I’m the one
what you want
what you want
what you want ah ya
골라 ma dish
I’m the one
what you want
what you want
what you want ah ya
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish",2021,,,0.9058823529,0.5142857143,유혹자,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/14/97/ec/1497ec04-8807-2477-7be4-2b98797f6875/NCTD_01_Hot_Sauce_DC-F_0429.jpg/592x592bb.webp,5
오마이걸,여성,Real Love,"우린 이 음악을 빌려
이 분위기를 빌려
지금 이 공기 이건 마치
7시간 비행 뒤 만난 것 같은 섬
pink빛 하늘을 빌려
Talkin' 'bout the real love

낯선 과일 향기가 퍼져
이 기분은 뭘까
아주 살짝 감긴 나의 눈이 빛나고 있잖아
사랑을 말하기 이보다 완벽한 밤은 없어
지금이야

우린 이 음악을 빌려
이 분위기를 빌려
지금 이 공기 이건 마치
7시간 비행 뒤 만난 것 같은 섬
pink빛 하늘을 빌려
Talkin' 'bout the real love

웅성거린 소리는 모두
다른 외국어 같아
너에게 1, 2, 3 최면처럼 막 빠져드는 이 순간
사랑을 말하기 이보다 완벽한 밤은 없어
지금이야

우린 이 음악을 빌려
이 분위기를 빌려
지금 이 공기 이건 마치
7시간 비행 뒤 만난 것 같은 섬
pink빛 하늘을 빌려
Talkin' 'bout the real love

Real, real love
It’s a Real, real love
Real, real love
It’s a Real, real love
이건 exotic experience
우연이라기엔 영화 속 한 장면 같아 솔직히 이 모든 게
자꾸만 느려져 천천히 가는 이 느낌
감각은 so unreal, real love

우린 이 음악을 빌려
이 분위기를 빌려
지금 이 공기 이건 마치
7시간 비행 뒤 만난 것 같은 섬의
pink빛 하늘을 빌려
Talkin' 'bout the real love",2022,,,0.9024390244,0.5,순정파,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/cd/b5/c7/cdb5c741-90e9-f3bd-8f93-37fd1bf19f4c/196589052247.jpg/632x632bb.webp,6
Red Velvet (레드벨벳),여성,피카부 (Peek-A-Boo),"Uhm yeah yah 
Oh gosh 난리야 Oh gosh 
맞아 난 좀 기분파 
헤 금방 또 사랑에 빠져 
Yeah yeah yeah yeah 
새것만 좋아해요 반짝거리죠 
다들 그렇잖아요 맞죠 
Peek A Boo 설렐 때만 사랑이니까 
La la la la la 
내 친구 모두 소리쳐 
넌 정말 문제야 
I’m fine fine fine fine fine fine 
Peek Peek A Peek A Boo 
Peek Peek A Peek A Boo 
흥이 난 여우 그런 나라구 
Peek Peek A Peek A Boo 
I said 1 2 3 
Play the game again 
버튼을 눌러보자 쿵푸만큼 빨리 
중간에 내 맘 변해도 놀라지 말기 
혹시 끌리지 않니 그럼 Excuse me 
자 전화해요 밤새 또 놀러 가요 함께 
Restart a game 
돌진해 롤링해 블랑카 
오늘 저녁도 Let’s go 
놀이터는 붐비고 
지루해질 틈조차 없죠 
Yeah yeah yeah 
빙글빙글 돌아요 다들 똑같죠 
오 마침내 마주친 눈빛 
Peek A Boo 
새로워요 사랑인가요 
La la la la la 
내 친구 모두 소리쳐 
넌 정말 문제야 
I’m fine fine fine fine fine fine 
Ma Boo Boo Boo 
Peek A Boo Boo Boo Boo
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 끼워 줄게
Peek Peek A Peek A Boo
저 달이 정글짐에 걸릴
시간까지 노는 거야
Peek Peek A Peek A Boo
Peek A Boo 이상해 어라 넌 좀 달라
이런 게임 멈추고 너를 다시 보게 돼
무섭지 않아 난 새로운 얘기가
펼쳐질 거라는 걸 방금 느꼈으니까
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
흥이 난 여우 그런 나라구
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 끼워 줄게
Peek Peek A Peek A Boo
저 달이 정글짐에 걸릴
시간까지 노는 거야
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 네가 좋아
Peek Peek A Peek A Boo
저 달이 정글짐에
걸릴 시간이지만 더 놀자
Peek Peek A Peek A Boo
Peek A Boo
Peek A Boo
Peek A Boo",2017,,2014,0.9,0.44,유혹자,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/e5/43/f8/e543f849-b92d-9812-c7c8-0a2f16126d96/RV_02_DC.jpg/592x592bb.webp,7
방탄소년단,남성,불타오르네 (FIRE),"불타오르네
Fire
Fire
Fire
Fire
When I wake up in my room 
난 뭣도 없지
해가 지고 난 후 비틀대며 걷지
다 만신창이로 취했어 취했어
막 욕해 길에서 길에서
나 맛이 갔지 미친놈 같지
다 엉망진창 livin' like 삐이
니 멋대로 살어 어차피 니 꺼야
애쓰지 좀 말어 져도 괜찮아
Errbody say La la la la la 
La la la la la
Say La la la la la 
La la la la la
손을 들어 소리질러 Burn it up
불타오르네
싹 다 불태워라 Bow wow wow
싹 다 불태워라 Bow wow wow 
Hey burn it up
전부 다 태울 것 같이
Hey turn it up
새벽이 다 갈 때까지
그냥 살아도 돼 우린 젊기에
그 말하는 넌 뭔 수저길래
수저수저 거려 난 사람인데
So what
니 멋대로 살어 어차피 니 꺼야
애쓰지 좀 말어 져도 괜찮아
Errbody say La la la la la 
La la la la la
Say La la la la la 
La la la la la
손을 들어 소리질러 Burn it up
불타오르네
싹 다 불태워라 Bow wow wow
싹 다 불태워라 Bow wow wow
Fire 겁 많은 자여 여기로
Fire 괴로운 자여 여기로
Fire 맨주먹을 들고 All night long
Fire 진군하는 발걸음으로
Fire 뛰어봐 
미쳐버려 다
hot hot hot hotter
싹 다 불태워라 Bow wow wow
hot hot hot hotter
싹 다 불태워라 Bow wow wow
Fire 
hot hot hot hotter
Fire 
싹 다 불태워라 Bow wow wow
Fire 
hot hot hot hotter
Fire 
싹 다 불태워라 Bow wow wow
용서해줄게",2016,2016,2013,0.8983050847,0.8333333333,,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/4c/97/6f/4c976f5c-5196-1221-8517-ddfcb0ba514c/8804775070341_Cover.jpg/592x592bb.webp,8
보아 (BoA),여성,Hurricane Venus,"Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
날 자극하면 반드시
너를 집어삼켜
큰 폭풍 치듯 몰아치면
넌 숨 못 쉬어
쉴 새 없이 Woo uh
너를 잡아끄는 나만의 비밀
Electronic Manic
Supersonic Bionic Energy
불안한 소용돌이
그 안에서 태어나
가렸던 베일에 강렬한
전율이 일어
널 향해 Woo uh Woo uh
Electronic Manic Supersonic
Bionic Energy
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
스르륵 스르륵 덮치며
스르륵 스르륵 네 몸을
깨워 에워
Hurri Hurri Hurricane
Ve Ve Venus
내 눈은 안전지대
널 기다리는 곳
긴장은 잠시 멈춰
또 다른 나를 만나봐
Woo uh 벗어나면
위험해 바깥은 온통
Electronic Manic Supersonic
Bionic Energy
불안한 소용돌이
그 안에서 태어나
사나운 해일에 숨겨둔
내 눈에 쉬어
난 너의 Woo uh Woo uh
Electronic Manic Supersonic
Bionic Energy
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
스르륵 스르륵 덮치며
스르륵 스르륵 네 몸을
깨워 에워
Hurri Hurri Hurricane
Ve Ve Venus
Oh oh oh eh Oh oh oh eh
Oh oh oh eh
Oh oh oh eh Oh oh oh eh
Oh oh oh eh
In my area 어디도
못 벗어나 나에게서 어 어
In my area 어디도
못 벗어나 나에게서 어 어
Electronic Manic Supersonic
Bionic Energy
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
스르륵 스르륵 덮치며
스르륵 스르륵 네 몸을
깨워 에워
Hurri Hurri Hurricane
Uh uh uh uh Hurricane
Uh uh Venus
Uh uh uh uh Hurricane
Uh uh Venus
스르륵 스르륵 덮치며
스르륵 스르륵 네 몸을 깨워 에워
Hurri Hurri Hurricane Venus",2010,2010,2000,0.8961038961,1,지배자,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/f9/0c/0e/f90c0ede-c149-66e9-e0d5-cceb853a6986/asset.jpg/592x592bb.webp,9
레드벨벳,여성,피카부,"Uhm yeah yah
Oh gosh 난리야 Oh gosh
맞아 난 좀 기분파
헤 금방 또 사랑에 빠져
Yeah yeah yeah yeah
새것만 좋아해요 반짝거리죠
다들 그렇잖아요 맞죠
Peek A Boo 설렐 때만 사랑이니까
La la la la la
내 친구 모두 소리쳐
넌 정말 문제야
I’m fine fine fine fine fine fine
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
흥이 난 여우 그런 나라구
Peek Peek A Peek A Boo
I said 1 2 3
Play the game again
버튼을 눌러보자 쿵푸만큼 빨리
중간에 내 맘 변해도 놀라지 말기
혹시 끌리지 않니 그럼 Excuse me
자 전화해요 밤새 또 놀러 가요 함께
Restart a game
돌진해 롤링해 블랑카
오늘 저녁도 Let’s go
놀이터는 붐비고
지루해질 틈조차 없죠
Yeah yeah yeah
빙글빙글 돌아요 다들 똑같죠
오 마침내 마주친 눈빛
Peek A Boo
새로워요 사랑인가요
La la la la la
내 친구 모두 소리쳐
넌 정말 문제야
I’m fine fine fine fine fine fine
Ma Boo Boo Boo
Peek A Boo Boo Boo Boo
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 끼워 줄게
Peek Peek A Peek A Boo
저 달이 정글짐에 걸릴
시간까지 노는 거야
Peek Peek A Peek A Boo
Peek A Boo 이상해 어라 넌 좀 달라
이런 게임 멈추고 너를 다시 보게 돼
무섭지 않아 난 새로운 얘기가
펼쳐질 거라는 걸 방금 느꼈으니까
Peek Peek A Peek A Boo
Peek Peek A Peek A Boo
흥이 난 여우 그런 나라구
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 끼워 줄게
Peek Peek A Peek A Boo
저 달이 정글짐에 걸릴
시간까지 노는 거야
Peek Peek A Peek A Boo
술래는 너로 정해졌어
재밌을 거야 네가 좋아
Peek Peek A Peek A Boo
저 달이 정글짐에
걸릴 시간이지만 더 놀자
Peek Peek A Peek A Boo
Peek A Boo
Peek A Boo
Peek A Boo",2018,,,0.8939393939,0.4090909091,유혹자,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/e5/43/f8/e543f849-b92d-9812-c7c8-0a2f16126d96/RV_02_DC.jpg/592x592bb.webp,10
